date,yr,mn,dy,rmm1,rmm2,ph,amp
11/13/1974,1974,11,13,-0.77442998,0.75320601,8,1.0803
11/14/1974,1974,11,14,-0.57187998,0.67392802,7,0.88387102
11/15/1974,1974,11,15,-0.48440999,0.351381,8,0.59842998
11/16/1974,1974,11,16,-0.49529999,0.28007999,8,0.56900799
11/17/1974,1974,11,17,-0.47929001,0.56144702,7,0.738204
11/18/1974,1974,11,18,-0.39283001,0.78481299,7,0.87763798
11/19/1974,1974,11,19,-0.39276999,0.848571,7,0.93506002
11/20/1974,1974,11,20,-0.32886001,0.89569402,7,0.95415699
11/21/1974,1974,11,21,-0.17398,0.754785,7,0.77457702
11/22/1974,1974,11,22,0.312823,0.64342803,6,0.71544302
11/23/1974,1974,11,23,0.86278498,0.61813802,5,1.06136
11/24/1974,1974,11,24,0.85349798,0.40556401,5,0.94495499
11/25/1974,1974,11,25,0.97087502,0.384895,5,1.04439
11/26/1974,1974,11,26,0.81264198,0.67188501,5,1.05443
11/27/1974,1974,11,27,0.70419902,0.84164298,6,1.0973901
11/28/1974,1974,11,28,0.43421799,0.96935701,6,1.06217
11/29/1974,1974,11,29,2.04E-02,1.03585,6,1.03605
11/30/1974,1974,11,30,-0.30756,1.13932,7,1.18011
12/1/1974,1974,12,1,-0.72601998,0.96864402,7,1.21053
12/2/1974,1974,12,2,-0.85040998,0.89089,7,1.23162
12/3/1974,1974,12,3,-0.95915997,0.70959902,8,1.19312
12/4/1974,1974,12,4,-0.88388002,0.202692,8,0.90682203
12/5/1974,1974,12,5,-0.67119002,-0.33344001,1,0.74945199
12/6/1974,1974,12,6,-0.40798,-0.63299,2,0.75307298
12/7/1974,1974,12,7,-9.82E-02,-0.47084001,2,0.48096901
12/8/1974,1974,12,8,-0.19568001,-0.18716,1,0.27077401
12/9/1974,1974,12,9,-4.77E-02,-3.50E-02,1,5.91E-02
12/10/1974,1974,12,10,9.10E-02,-1.15E-02,4,9.17E-02
12/11/1974,1974,12,11,0.28041801,0.19360299,5,0.34075901
12/12/1974,1974,12,12,-8.62E-02,0.41711101,7,0.42592001
12/13/1974,1974,12,13,-0.24369,0.46977001,7,0.52921301
12/14/1974,1974,12,14,-0.28283,0.204587,8,0.349069
12/15/1974,1974,12,15,-0.3937,0.35828501,8,0.53232503
12/16/1974,1974,12,16,-0.57059002,0.59700698,7,0.825827
